index,Month,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
4881,SEP,974,1835,1570,2056,2354,2653,2951,3249,3547,3846,4144,4442,4740,5039,5337,5635,5933,6232,6530,6828,7126,7425
4882,OCT,976,1841,1574,2062,2361,2660,2959,3259,3558,3857,4156,4455,4755,5054,5353,5652,5951,6250,6550,6849,7148,7447
4883,NOV,978,1846,1578,2068,2368,2668,2968,3268,3568,3869,4168,4469,4769,5069,5369,5669,5969,6269,6569,6870,7170,7470
4884,DEC,980,1851,1582,2073,2375,2676,2976,3278,3579,3880,4181,4482,4783,5084,5385,5686,5987,6288,6589,6891,7191,7493
4885,JAN,983,1857,1587,2079,2381,2683,2985,3287,3589,3891,4193,4495,4797,5099,5401,5703,6005,6307,6609,6911,7213,7515
4886,FEB,985,1862,1591,2085,2388,2691,2994,3297,3600,3903,4205,4509,4811,5115,5417,5720,6023,6326,6629,6932,7235,7538
4887,MAR,987,1867,1595,2091,2395,2699,3002,3306,3610,3914,4218,4522,4826,5130,5433,5737,6041,6345,6649,6953,7257,7561
4888,APR,989,1872,1599,2096,2401,2706,3011,3316,3620,3925,4230,4535,4840,5145,5450,5754,6059,6364,6669,6974,7278,7583
4889,MAY,992,1878,1603,2102,2408,2714,3019,3325,3631,3937,4242,4548,4854,5160,5466,5771,6077,6383,6689,6995,7300,7606
4890,JUN,994,1883,1607,2108,2415,2721,3028,3335,3641,3948,4255,4562,4868,5175,5482,5788,6095,6402,6708,7015,7322,7629
4891,JUL,996,1888,1611,2114,2421,2729,3036,3344,3652,3960,4267,4575,4882,5190,5498,5805,6113,6421,6728,7036,7344,7651
4892,AUG,998,1894,1615,2119,2428,2737,3045,3354,3662,3971,4279,4588,4897,5205,5514,5822,6131,6440,6748,7057,7365,7674
4893,SEP,1000,1899,1619,2125,2435,2744,3054,3363,3673,3982,4292,4601,4911,5221,5530,5839,6149,6459,6768,7078,7387,7697
4894,OCT,1003,1904,1624,2131,2441,2752,3062,3373,3683,3994,4304,4615,4925,5236,5546,5856,6167,6478,6788,7099,7409,7719
4895,NOV,1005,1909,1628,2137,2448,2760,3071,3382,3694,4005,4316,4628,4939,5251,5562,5873,6185,6496,6808,7119,7431,7742
4896,DEC,1007,1915,1632,2142,2455,2767,3079,3392,3704,4017,4329,4641,4954,5266,5578,5890,6203,6515,6828,7140,7452,7765
4897,JAN,1009,1920,1636,2148,2462,2775,3088,3401,3715,4028,4341,4655,4968,5281,5594,5907,6221,6534,6847,7161,7474,7787
4898,FEB,1012,1925,1640,2154,2468,2783,3096,3411,3725,4039,4353,4668,4982,5296,5611,5924,6239,6553,6867,7182,7496,7810
4899,MAR,1014,1930,1644,2160,2475,2790,3105,3420,3735,4051,4366,4681,4996,5312,5627,5941,6257,6572,6887,7203,7518,7833
4900,APR,1016,1936,1648,2165,2482,2798,3114,3430,3746,4062,4378,4694,5010,5327,5643,5958,6275,6591,6907,7223,7539,7855
4901,MAY,1018,1941,1652,2171,2488,2805,3122,3439,3756,4074,4390,4708,5025,5342,5659,5975,6293,6610,6927,7244,7561,7878
4902,JUN,1020,1946,1656,2177,2495,2813,3131,3449,3767,4085,4403,4721,5039,5357,5675,5993,6311,6629,6947,7265,7583,7901
4903,JUL,1023,1952,1660,2183,2502,2821,3139,3458,3777,4096,4415,4734,5053,5372,5691,6010,6329,6648,6967,7286,7605,7924
4904,AUG,1025,1957,1665,2188,2508,2828,3148,3468,3788,4108,4427,4747,5067,5387,5707,6027,6347,6667,6986,7307,7626,7946
4905,SEP,1027,1962,1669,2194,2515,2836,3156,3477,3798,4119,4440,4761,5082,5403,5723,6044,6365,6686,7006,7327,7648,7969
4906,OCT,1029,1967,1673,2200,2522,2844,3165,3487,3809,4131,4452,4774,5096,5418,5739,6061,6383,6705,7026,7348,7670,7992
4907,NOV,1032,1973,1677,2206,2528,2851,3174,3497,3819,4142,4464,4787,5110,5433,5755,6078,6400,6723,7046,7369,7691,8014
4908,DEC,1034,1978,1681,2211,2535,2859,3182,3506,3830,4153,4477,4801,5124,5448,5771,6095,6418,6742,7066,7390,7713,8037
4909,JAN,1036,1983,1685,2217,2542,2866,3191,3516,3840,4165,4489,4814,5138,5463,5788,6112,6436,6761,7086,7411,7735,8060
4910,FEB,1038,1989,1689,2223,2549,2874,3199,3525,3850,4176,4501,4827,5153,5478,5804,6129,6454,6780,7106,7431,7757,8082
4911,MAR,1040,1994,1693,2229,2555,2882,3208,3535,3861,4188,4514,4840,5167,5493,5820,6146,6472,6799,7125,7452,7778,8105
4912,APR,1043,1999,1697,2234,2562,2889,3216,3544,3871,4199,4526,4854,5181,5509,5836,6163,6490,6818,7145,7473,7800,8128
4913,MAY,1045,2004,1702,2240,2569,2897,3225,3554,3882,4210,4538,4867,5195,5524,5852,6180,6508,6837,7165,7494,7822,8150
4914,JUN,1047,2010,1706,2246,2575,2905,3234,3563,3892,4222,4551,4880,5209,5539,5868,6197,6526,6856,7185,7515,7844,8173
4915,JUL,1049,2015,1710,2252,2582,2912,3242,3573,3903,4233,4563,4893,5224,5554,5884,6214,6544,6875,7205,7535,7865,8196
4916,AUG,1052,2020,1714,2257,2589,2920,3251,3582,3913,4245,4575,4907,5238,5569,5900,6231,6562,6894,7225,7556,7887,8218
4917,SEP,1054,2026,1718,2263,2595,2928,3259,3592,3924,4256,4588,4920,5252,5584,5916,6248,6580,6913,7245,7577,7909,8241
4918,OCT,1056,2031,1722,2269,2602,2935,3268,3601,3934,4267,4600,4933,5266,5600,5932,6265,6598,6932,7264,7598,7931,8264
4919,NOV,1058,2036,1726,2275,2609,2943,3276,3611,3945,4279,4613,4947,5281,5615,5949,6282,6616,6950,7284,7619,7952,8286
4920,DEC,1060,2041,1730,2280,2615,2950,3285,3620,3955,4290,4625,4960,5295,5630,5965,6299,6634,6969,7304,7639,7974,8309
4921,JAN,1063,2047,1734,2286,2622,2958,3294,3630,3965,4301,4637,4973,5309,5645,5981,6316,6652,6988,7324,7660,7996,8332
4922,FEB,1065,2052,1738,2292,2629,2966,3302,3639,3976,4313,4650,4986,5323,5660,5997,6333,6670,7007,7344,7681,8018,8354
4923,MAR,1067,2057,1743,2298,2635,2973,3311,3649,3986,4324,4662,5000,5337,5675,6013,6350,6688,7026,7364,7702,8039,8377
4924,APR,1069,2062,1747,2303,2642,2981,3319,3658,3997,4336,4674,5013,5352,5691,6029,6367,6706,7045,7384,7723,8061,8400
4925,MAY,1072,2068,1751,2309,2649,2989,3328,3668,4007,4347,4687,5026,5366,5706,6045,6384,6724,7064,7403,7743,8083,8422
4926,JUN,1074,2073,1755,2315,2656,2996,3336,3677,4018,4358,4699,5040,5380,5721,6061,6401,6742,7083,7423,7764,8105,8445
4927,JUL,1076,2078,1759,2321,2662,3004,3345,3687,4028,4370,4711,5053,5394,5736,6077,6418,6760,7102,7443,7785,8126,8468
4928,AUG,1078,2084,1763,2326,2669,3012,3354,3696,4039,4381,4724,5066,5408,5751,6093,6435,6778,7121,7463,7806,8148,8491
4929,SEP,1080,2089,1767,2332,2676,3019,3362,3706,4049,4393,4736,5079,5423,5766,6110,6452,6796,7140,7483,7827,8170,8513
4930,OCT,1083,2094,1771,2338,2682,3027,3371,3715,4060,4404,4748,5093,5437,5781,6126,6470,6814,7159,7503,7847,8191,8536
4931,NOV,1085,2099,1775,2344,2689,3034,3379,3725,4070,4415,4761,5106,5451,5797,6142,6487,6832,7177,7523,7868,8213,8559
4932,DEC,1087,2105,1780,2350,2696,3042,3388,3734,4080,4427,4773,5119,5465,5812,6158,6504,6850,7196,7542,7889,8235,8581
4933,JAN,1089,2110,1784,2355,2702,3050,3396,3744,4091,4438,4785,5132,5480,5827,6174,6521,6868,7215,7562,7910,8257,8604
4934,FEB,1092,2115,1788,2361,2709,3057,3405,3753,4101,4450,4798,5146,5494,5842,6190,6538,6886,7234,7582,7931,8278,8627
4935,MAR,1094,2121,1792,2367,2716,3065,3414,3763,4112,4461,4810,5159,5508,5857,6206,6555,6904,7253,7602,7951,8300,8649
4936,APR,1096,2126,1796,2373,2722,3073,3422,3772,4122,4472,4822,5172,5522,5872,6222,6572,6922,7272,7622,7972,8322,8672
4937,MAY,1098,2131,1800,2378,2729,3080,3431,3782,4133,4484,4835,5186,5536,5888,6238,6589,6940,7291,7642,7993,8344,8695
4938,JUN,1101,2136,1804,2384,2736,3088,3439,3791,4143,4495,4847,5199,5551,5903,6254,6606,6958,7310,7662,8014,8365,8717
4939,JUL,1103,2142,1808,2390,2743,3095,3448,3801,4154,4507,4859,5212,5565,5918,6270,6623,6976,7329,7682,8035,8387,8740
4940,AUG,1105,2147,1812,2396,2749,3103,3456,3810,4164,4518,4872,5225,5579,5933,6287,6640,6994,7348,7701,8055,8409,8763
4941,SEP,1107,2152,1816,2401,2756,3111,3465,3820,4175,4529,4884,5239,5593,5948,6303,6657,7012,7367,7721,8076,8431,8785
4942,OCT,1109,2158,1821,2407,2763,3118,3474,3829,4185,4541,4896,5252,5607,5963,6319,6674,7030,7386,7741,8097,8452,8808
4943,NOV,1112,2163,1825,2413,2769,3126,3482,3839,4195,4552,4909,5265,5622,5978,6335,6691,7048,7405,7761,8118,8474,8831
4944,DEC,1114,2168,1829,2419,2776,3134,3491,3848,4206,4564,4921,5278,5636,5994,6351,6708,7066,7423,7781,8139,8496,8853
4945,JAN,1116,2173,1833,2424,2783,3141,3499,3858,4216,4575,4933,5292,5650,6009,6367,6725,7084,7442,7801,8159,8518,8876
4946,FEB,1118,2179,1837,2430,2789,3149,3508,3868,4227,4586,4946,5305,5664,6024,6383,6742,7102,7461,7821,8180,8539,8899
4947,MAR,1121,2184,1841,2436,2796,3157,3516,3877,4237,4598,4958,5318,5679,6039,6399,6759,7120,7480,7840,8201,8561,8921
4948,APR,1123,2189,1845,2442,2803,3164,3525,3887,4248,4609,4970,5332,5693,6054,6415,6776,7138,7499,7860,8222,8583,8944
4949,MAY,1125,2194,1849,2447,2809,3172,3534,3896,4258,4621,4983,5345,5707,6069,6431,6793,7156,7518,7880,8243,8605,8967
4950,JUN,1127,2200,1853,2453,2816,3179,3542,3906,4269,4632,4995,5358,5721,6085,6448,6810,7173,7537,7900,8263,8626,8990
4951,JUL,1129,2205,1858,2459,2823,3187,3551,3915,4279,4643,5007,5371,5735,6100,6464,6827,7191,7556,7920,8284,8648,9012
4952,AUG,1132,2210,1862,2465,2830,3195,3559,3925,4289,4655,5020,5385,5750,6115,6480,6844,7209,7575,7940,8305,8670,9035
4953,SEP,1134,2216,1866,2470,2836,3202,3568,3934,4300,4666,5032,5398,5764,6130,6496,6861,7227,7594,7960,8326,8691,9058
4954,OCT,1136,2221,1870,2476,2843,3210,3576,3944,4310,4678,5044,5411,5778,6145,6512,6878,7245,7613,7979,8347,8713,9080
4955,NOV,1138,2226,1874,2482,2850,3218,3585,3953,4321,4689,5057,5424,5792,6160,6528,6895,7263,7632,7999,8367,8735,9103
4956,DEC,1141,2231,1878,2488,2856,3225,3594,3963,4331,4700,5069,5438,5807,6176,6544,6912,7281,7650,8019,8388,8757,9126
4957,JAN,1143,2237,1882,2493,2863,3233,3602,3972,4342,4712,5081,5451,5821,6191,6560,6929,7299,7669,8039,8409,8778,9148
4958,FEB,1145,2242,1886,2499,2870,3240,3611,3982,4352,4723,5094,5464,5835,6206,6576,6947,7317,7688,8059,8430,8800,9171
4959,MAR,1147,2247,1890,2505,2876,3248,3619,3991,4363,4734,5106,5478,5849,6221,6592,6964,7335,7707,8079,8451,8822,9194
4960,APR,1149,2253,1894,2511,2883,3256,3628,4001,4373,4746,5118,5491,5863,6236,6609,6981,7353,7726,8099,8471,8844,9216
4961,MAY,1152,2258,1899,2516,2890,3263,3636,4010,4384,4757,5131,5504,5878,6251,6625,6998,7371,7745,8118,8492,8865,9239
4962,JUN,1154,2263,1903,2522,2896,3271,3645,4020,4394,4769,5143,5517,5892,6266,6641,7015,7389,7764,8138,8513,8887,9262
4963,JUL,1156,2268,1907,2528,2903,3279,3654,4029,4404,4780,5155,5531,5906,6282,6657,7032,7407,7783,8158,8534,8909,9284
4964,AUG,1158,2274,1911,2534,2910,3286,3662,4039,4415,4791,5168,5544,5920,6297,6673,7049,7425,7802,8178,8555,8931,9307
4965,SEP,1161,2279,1915,2539,2917,3294,3671,4048,4425,4803,5180,5557,5934,6312,6689,7066,7443,7821,8198,8575,8952,9330
4966,OCT,1163,2284,1919,2545,2923,3302,3679,4058,4436,4814,5192,5571,5949,6327,6705,7083,7461,7840,8218,8596,8974,9352
4967,NOV,1165,2290,1923,2551,2930,3309,3688,4067,4446,4826,5205,5584,5963,6342,6721,7100,7479,7859,8238,8617,8996,9375
4968,DEC,1167,2295,1927,2557,2937,3317,3696,4077,4457,4837,5217,5597,5977,6357,6737,7117,7497,7877,8257,8638,9018,9398
4969,JAN,1169,2300,1931,2562,2943,3324,3705,4086,4467,4848,5229,5610,5991,6373,6753,7134,7515,7896,8277,8659,9039,9420
4970,FEB,1172,2305,1936,2568,2950,3332,3714,4096,4478,4860,5242,5624,6006,6388,6770,7151,7533,7915,8297,8679,9061,9443
4971,MAR,1174,2311,1940,2574,2957,3340,3722,4105,4488,4871,5254,5637,6020,6403,6786,7168,7551,7934,8317,8700,9083,9466
4972,APR,1176,2316,1944,2580,2963,3347,3731,4115,4499,4883,5266,5650,6034,6418,6802,7185,7569,7953,8337,8721,9105,9488
4973,MAY,1178,2321,1948,2585,2970,3355,3739,4124,4509,4894,5279,5663,6048,6433,6818,7202,7587,7972,8357,8742,9126,9511
4974,JUN,1181,2326,1952,2591,2977,3363,3748,4134,4519,4905,5291,5677,6062,6448,6834,7219,7605,7991,8377,8763,9148,9534
4975,JUL,1183,2332,1956,2597,2983,3370,3756,4143,4530,4917,5303,5690,6077,6463,6850,7236,7623,8010,8396,8783,9170,9557
4976,AUG,1185,2337,1960,2603,2990,3378,3765,4153,4540,4928,5316,5703,6091,6479,6866,7253,7641,8029,8416,8804,9192,9579
4977,SEP,1187,2342,1964,2608,2997,3385,3774,4162,4551,4940,5328,5717,6105,6494,6882,7270,7659,8048,8436,8825,9213,9602
4978,OCT,1189,2348,1968,2614,3004,3393,3782,4172,4561,4951,5340,5730,6119,6509,6898,7287,7677,8067,8456,8846,9235,9625
4979,NOV,1192,2353,1972,2620,3010,3401,3791,4181,4572,4962,5353,5743,6133,6524,6914,7304,7695,8086,8476,8867,9257,9647
4980,DEC,1194,2358,1977,2626,3017,3408,3799,4191,4582,4974,5365,5756,6148,6539,6930,7321,7713,8104,8496,8887,9278,9670
4981,JAN,1196,2363,1981,2631,3024,3416,3808,4200,4593,4985,5377,5770,6162,6554,6947,7338,7731,8123,8516,8908,9300,9693
4982,FEB,1198,2369,1985,2637,3030,3424,3817,4210,4603,4997,5390,5783,6176,6570,6963,7355,7749,8142,8535,8929,9322,9715
4983,MAR,1201,2374,1989,2643,3037,3431,3825,4219,4614,5008,5402,5796,6190,6585,6979,7372,7767,8161,8555,8950,9344,9738
4984,APR,1203,2379,1993,2649,3044,3439,3834,4229,4624,5019,5414,5809,6205,6600,6995,7389,7785,8180,8575,8971,9365,9761
4985,MAY,1205,2385,1997,2654,3050,3447,3842,4239,4634,5031,5427,5823,6219,6615,7011,7406,7803,8199,8595,8991,9387,9783
4986,JUN,1207,2390,2001,2660,3057,3454,3851,4248,4645,5042,5439,5836,6233,6630,7027,7424,7821,8218,8615,9012,9409,9806
4987,JUL,1209,2395,2005,2666,3064,3462,3859,4258,4655,5054,5451,5849,6247,6645,7043,7441,7839,8237,8635,9033,9431,9829
4988,AUG,1212,2400,2009,2672,3070,3469,3868,4267,4666,5065,5464,5863,6261,6661,7059,7458,7857,8256,8655,9054,9452,9851
4989,SEP,1214,2406,2014,2677,3077,3477,3877,4277,4676,5076,5476,5876,6276,6676,7075,7475,7875,8275,8674,9075,9474,9874
4990,OCT,1216,2411,2018,2683,3084,3485,3885,4286,4687,5088,5488,5889,6290,6691,7091,7492,7893,8294,8694,9095,9496,9897
4991,NOV,1218,2416,2022,2689,3090,3492,3894,4296,4697,5099,5501,5902,6304,6706,7108,7509,7911,8313,8714,9116,9518,9919
4992,DEC,1221,2422,2026,2695,3097,3500,3902,4305,4708,5110,5513,5916,6318,6721,7124,7526,7929,8332,8734,9137,9539,9942
4993,JAN,1223,2427,2030,2700,3104,3508,3911,4315,4718,5122,5525,5929,6332,6736,7140,7543,7946,8350,8754,9158,9561,9965
4994,FEB,1225,2432,2034,2706,3111,3515,3919,4324,4729,5133,5538,5942,6347,6751,7156,7560,7964,8369,8774,9179,9583,9987
4995,MAR,1227,2437,2038,2712,3117,3523,3928,4334,4739,5145,5550,5956,6361,6767,7172,7577,7982,8388,8794,9199,9605,10010
4996,APR,1230,2443,2042,2718,3124,3530,3937,4343,4749,5156,5562,5969,6375,6782,7188,7594,8000,8407,8813,9220,9626,10033
4997,MAY,1232,2448,2046,2723,3131,3538,3945,4353,4760,5167,5575,5982,6389,6797,7204,7611,8018,8426,8833,9241,9648,10055
4998,JUN,1234,2453,2050,2729,3137,3546,3954,4362,4770,5179,5587,5995,6404,6812,7220,7628,8036,8445,8853,9262,9670,10078
4999,JUL,1236,2458,2055,2735,3144,3553,3962,4372,4781,5190,5599,6009,6418,6827,7236,7645,8054,8464,8873,9283,9692,10101
5000,AUG,1238,2464,2059,2741,3151,3561,3971,4381,4791,5202,5612,6022,6432,6842,7252,7662,8072,8483,8893,9303,9713,10124
5001,SEP,1241,2469,2063,2746,3157,3569,3979,4391,4802,5213,5624,6035,6446,6858,7269,7679,8090,8502,8913,9324,9735,10146
5002,OCT,1243,2474,2067,2752,3164,3576,3988,4400,4812,5224,5636,6048,6460,6873,7285,7696,8108,8521,8933,9345,9757,10169
5003,NOV,1245,2480,2071,2758,3171,3584,3997,4410,4823,5236,5649,6062,6475,6888,7301,7713,8126,8540,8952,9366,9778,10192
5004,DEC,1247,2485,2075,2764,3177,3592,4005,4419,4833,5247,5661,6075,6489,6903,7317,7730,8144,8559,8972,9387,9800,10214
5005,JAN,1250,2490,2079,2769,3184,3599,4014,4429,4843,5259,5673,6088,6503,6918,7333,7747,8162,8577,8992,9407,9822,10237
5006,FEB,1252,2495,2083,2775,3191,3607,4022,4438,4854,5270,5686,6102,6517,6933,7349,7764,8180,8596,9012,9428,9844,10260
5007,MAR,1254,2501,2087,2781,3198,3614,4031,4448,4864,5281,5698,6115,6531,6949,7365,7781,8198,8615,9032,9449,9865,10282
5008,APR,1256,2506,2092,2787,3204,3622,4039,4457,4875,5293,5710,6128,6546,6964,7381,7798,8216,8634,9052,9470,9887,10305
5009,MAY,1258,2511,2096,2792,3211,3630,4048,4467,4885,5304,5723,6141,6560,6979,7397,7815,8234,8653,9072,9491,9909,10328
5010,JUN,1261,2517,2100,2798,3218,3637,4057,4476,4896,5316,5735,6155,6574,6994,7413,7832,8252,8672,9091,9511,9931,10350
5011,JUL,1263,2522,2104,2804,3224,3645,4065,4486,4906,5327,5747,6168,6588,7009,7429,7849,8270,8691,9111,9532,9952,10373
5012,AUG,1265,2527,2108,2810,3231,3653,4074,4495,4917,5338,5760,6181,6603,7024,7446,7866,8288,8710,9131,9553,9974,10396
5013,SEP,1267,2532,2112,2815,3238,3660,4082,4505,4927,5350,5772,6194,6617,7039,7462,7883,8306,8729,9151,9574,9996,10418
5014,OCT,1270,2538,2116,2821,3244,3668,4091,4514,4938,5361,5784,6208,6631,7055,7478,7901,8324,8748,9171,9595,10018,10441
5015,NOV,1272,2543,2120,2827,3251,3676,4099,4524,4948,5373,5797,6221,6645,7070,7494,7918,8342,8767,9191,9615,10039,10464
5016,DEC,1274,2548,2124,2833,3258,3683,4108,4533,4958,5384,5809,6234,6659,7085,7510,7935,8360,8786,9211,9636,10061,10486
5017,JAN,1276,2554,2128,2838,3264,3691,4117,4543,4969,5395,5821,6248,6674,7100,7526,7952,8378,8804,9230,9657,10083,10509
5018,FEB,1278,2559,2133,2844,3271,3698,4125,4552,4979,5407,5834,6261,6688,7115,7542,7969,8396,8823,9250,9678,10105,10532
5019,MAR,1281,2564,2137,2850,3278,3706,4134,4562,4990,5418,5846,6274,6702,7130,7558,7986,8414,8842,9270,9699,10126,10554
5020,APR,1283,2569,2141,2856,3285,3714,4142,4571,5000,5430,5858,6287,6716,7146,7574,8003,8432,8861,9290,9719,10148,10577
5021,MAY,1285,2575,2145,2861,3291,3721,4151,4581,5011,5441,5871,6301,6731,7161,7590,8020,8450,8880,9310,9740,10170,10600
5022,JUN,1287,2580,2149,2867,3298,3729,4159,4590,5021,5452,5883,6314,6745,7176,7607,8037,8468,8899,9330,9761,10192,10623
5023,JUL,1290,2585,2153,2873,3305,3737,4168,4600,5032,5464,5895,6327,6759,7191,7623,8054,8486,8918,9350,9782,10213,10645
5024,AUG,1292,2590,2157,2879,3311,3744,4177,4610,5042,5475,5908,6340,6773,7206,7639,8071,8504,8937,9369,9803,10235,10668
5025,SEP,1294,2596,2161,2884,3318,3752,4185,4619,5053,5486,5920,6354,6787,7221,7655,8088,8522,8956,9389,9823,10257,10691
5026,OCT,1296,2601,2165,2890,3325,3759,4194,4629,5063,5498,5932,6367,6802,7236,7671,8105,8540,8975,9409,9844,10278,10713
5027,NOV,1298,2606,2170,2896,3331,3767,4202,4638,5073,5509,5945,6380,6816,7252,7687,8122,8558,8994,9429,9865,10300,10736
5028,DEC,1301,2612,2174,2902,3338,3775,4211,4648,5084,5521,5957,6394,6830,7267,7703,8139,8576,9013,9449,9886,10322,10759
5029,JAN,1303,2617,2178,2907,3345,3782,4219,4657,5094,5532,5969,6407,6844,7282,7719,8156,8594,9031,9469,9907,10344,10781
5030,FEB,1305,2622,2182,2913,3351,3790,4228,4667,5105,5543,5982,6420,6858,7297,7735,8173,8612,9050,9489,9928,10365,10804
5031,MAR,1307,2627,2186,2919,3358,3798,4237,4676,5115,5555,5994,6433,6873,7312,7751,8190,8630,9069,9508,9948,10387,10827
5032,APR,1310,2633,2190,2925,3365,3805,4245,4686,5126,5566,6006,6447,6887,7327,7768,8207,8648,9088,9528,9969,10409,10849
5033,MAY,1312,2638,2194,2930,3372,3813,4254,4695,5136,5578,6019,6460,6901,7343,7784,8224,8666,9107,9548,9990,10431,10872
5034,JUN,1314,2643,2198,2936,3378,3821,4262,4705,5147,5589,6031,6473,6915,7358,7800,8241,8684,9126,9568,10011,10452,10895
5035,JUL,1316,2649,2202,2942,3385,3828,4271,4714,5157,5600,6043,6487,6930,7373,7816,8258,8702,9145,9588,10032,10474,10917
5036,AUG,1318,2654,2206,2948,3392,3836,4279,4724,5168,5612,6056,6500,6944,7388,7832,8275,8719,9164,9608,10052,10496,10940
5037,SEP,1321,2659,2211,2953,3398,3843,4288,4733,5178,5623,6068,6513,6958,7403,7848,8292,8737,9183,9628,10073,10518,10963
5038,OCT,1323,2664,2215,2959,3405,3851,4297,4743,5188,5635,6080,6526,6972,7418,7864,8309,8755,9202,9647,10094,10539,10985
5039,NOV,1325,2670,2219,2965,3412,3859,4305,4752,5199,5646,6093,6540,6986,7434,7880,8326,8773,9221,9667,10115,10561,11008
5040,DEC,1327,2675,2223,2971,3418,3866,4314,4762,5209,5657,6105,6553,7001,7449,7896,8343,8791,9240,9687,10136,10583,11031
5041,JAN,1330,2680,2227,2976,3425,3874,4322,4771,5220,5669,6117,6566,7015,7464,7912,8360,8809,9259,9707,10156,10605,11053
5042,FEB,1332,2686,2231,2982,3432,3882,4331,4781,5230,5680,6130,6579,7029,7479,7928,8378,8827,9277,9727,10177,10626,11076
5043,MAR,1334,2691,2235,2988,3438,3889,4339,4790,5241,5692,6142,6593,7043,7494,7945,8395,8845,9296,9747,10198,10648,11099
5044,APR,1336,2696,2239,2994,3445,3897,4348,4800,5251,5703,6154,6606,7057,7509,7961,8412,8863,9315,9767,10219,10670,11121
5045,MAY,1338,2701,2243,2999,3452,3904,4357,4809,5262,5714,6167,6619,7072,7524,7977,8429,8881,9334,9787,10240,10692,11144
5046,JUN,1341,2707,2248,3005,3459,3912,4365,4819,5272,5726,6179,6633,7086,7540,7993,8446,8899,9353,9806,10260,10713,11167
5047,JUL,1343,2712,2252,3011,3465,3920,4374,4828,5283,5737,6191,6646,7100,7555,8009,8463,8917,9372,9826,10281,10735,11190
5048,AUG,1345,2717,2256,3017,3472,3927,4382,4838,5293,5749,6204,6659,7114,7570,8025,8480,8935,9391,9846,10302,10757,11212
5049,SEP,1347,2722,2260,3022,3479,3935,4391,4847,5303,5760,6216,6672,7129,7585,8041,8497,8953,9410,9866,10323,10779,11235
5050,OCT,1350,2728,2264,3028,3485,3943,4399,4857,5314,5771,6228,6686,7143,7600,8057,8514,8971,9429,9886,10344,10800,11258
5051,NOV,1352,2733,2268,3034,3492,3950,4408,4866,5324,5783,6241,6699,7157,7615,8073,8531,8989,9448,9906,10364,10822,11280
5052,DEC,1354,2738,2272,3040,3499,3958,4417,4876,5335,5794,6253,6712,7171,7631,8089,8548,9007,9467,9926,10385,10844,11303
5053,JAN,1356,2744,2276,3045,3505,3966,4425,4885,5345,5806,6265,6725,7185,7646,8106,8565,9025,9486,9945,10406,10865,11326
5054,FEB,1359,2749,2280,3051,3512,3973,4434,4895,5356,5817,6278,6739,7200,7661,8122,8582,9043,9504,9965,10427,10887,11348
5055,MAR,1361,2754,2284,3057,3519,3981,4442,4904,5366,5828,6290,6752,7214,7676,8138,8599,9061,9523,9985,10448,10909,11371
5056,APR,1363,2759,2289,3063,3525,3988,4451,4914,5377,5840,6302,6765,7228,7691,8154,8616,9079,9542,10005,10468,10931,11394
5057,MAY,1365,2765,2293,3068,3532,3996,4459,4923,5387,5851,6315,6779,7242,7706,8170,8633,9097,9561,10025,10489,10952,11416
5058,JUN,1367,2770,2297,3074,3539,4004,4468,4933,5398,5862,6327,6792,7256,7722,8186,8650,9115,9580,10045,10510,10974,11439
5059,JUL,1370,2775,2301,3080,3545,4011,4477,4942,5408,5874,6339,6805,7271,7737,8202,8667,9133,9599,10065,10531,10996,11462
5060,AUG,1372,2781,2305,3086,3552,4019,4485,4952,5418,5885,6352,6818,7285,7752,8218,8684,9151,9618,10084,10552,11018,11484
5061,SEP,1374,2786,2309,3091,3559,4027,4494,4961,5429,5897,6364,6832,7299,7767,8234,8701,9169,9637,10104,10572,11039,11507
5062,OCT,1376,2791,2313,3097,3566,4034,4502,4971,5439,5908,6376,6845,7313,7782,8250,8718,9187,9656,10124,10593,11061,11530
5063,NOV,1379,2796,2317,3103,3572,4042,4511,4981,5450,5919,6389,6858,7328,7797,8267,8735,9205,9675,10144,10614,11083,11552
5064,DEC,1381,2802,2321,3109,3579,4049,4519,4990,5460,5931,6401,6871,7342,7812,8283,8752,9223,9694,10164,10635,11105,11575
5065,JAN,1383,2807,2326,3114,3586,4057,4528,5000,5471,5942,6413,6885,7356,7828,8299,8769,9241,9713,10184,10656,11126,11598
5066,FEB,1385,2812,2330,3120,3592,4065,4537,5009,5481,5954,6426,6898,7370,7843,8315,8786,9259,9731,10204,10676,11148,11620
5067,MAR,1387,2818,2334,3126,3599,4072,4545,5019,5492,5965,6438,6911,7384,7858,8331,8803,9277,9750,10223,10697,11170,11643
5068,APR,1390,2823,2338,3132,3606,4080,4554,5028,5502,5976,6450,6925,7399,7873,8347,8820,9295,9769,10243,10718,11192,11666
5069,MAY,1392,2828,2342,3137,3612,4088,4562,5038,5512,5988,6463,6938,7413,7888,8363,8837,9313,9788,10263,10739,11213,11688
5070,JUN,1394,2833,2346,3143,3619,4095,4571,5047,5523,5999,6475,6951,7427,7903,8379,8855,9331,9807,10283,10760,11235,11711
5071,JUL,1396,2839,2350,3149,3626,4103,4579,5057,5533,6011,6487,6964,7441,7919,8395,8872,9349,9826,10303,10780,11257,11734
